基金代码,基金名称,股票代码,股票名称
006502,财通集成电路产业股票A,301200,大族数控
006502,财通集成电路产业股票A,301377,鼎泰高科
006502,财通集成电路产业股票A,688183,生益电子
006502,财通集成电路产业股票A,300308,中际旭创
006502,财通集成电路产业股票A,688498,源杰科技
006502,财通集成电路产业股票A,300502,新易盛
006502,财通集成电路产业股票A,600105,永鼎股份
006502,财通集成电路产业股票A,002463,沪电股份
006502,财通集成电路产业股票A,600498,烽火通信
006502,财通集成电路产业股票A,688195,腾景科技
014736,创金合信专精特新股票发起A,688072,拓荆科技
014736,创金合信专精特新股票发起A,688630,芯碁微装
014736,创金合信专精特新股票发起A,688652,京仪装备
014736,创金合信专精特新股票发起A,688019,安集科技
014736,创金合信专精特新股票发起A,688120,华海清科
014736,创金合信专精特新股票发起A,920640,富士达
014736,创金合信专精特新股票发起A,688141,杰华特
014736,创金合信专精特新股票发起A,688361,中科飞测
014736,创金合信专精特新股票发起A,688627,精智达
014736,创金合信专精特新股票发起A,688536,思瑞浦
005825,申万菱信智能驱动股票A,688120,华海清科
005825,申万菱信智能驱动股票A,002371,北方华创
005825,申万菱信智能驱动股票A,300661,圣邦股份
005825,申万菱信智能驱动股票A,688012,中微公司
005825,申万菱信智能驱动股票A,300567,精测电子
005825,申万菱信智能驱动股票A,300308,中际旭创
005825,申万菱信智能驱动股票A,688052,纳芯微
005825,申万菱信智能驱动股票A,300502,新易盛
005825,申万菱信智能驱动股票A,688627,精智达
005825,申万菱信智能驱动股票A,688361,中科飞测
005628,汇安趋势动力股票A,688120,华海清科
005628,汇安趋势动力股票A,688072,拓荆科技
005628,汇安趋势动力股票A,688012,中微公司
005628,汇安趋势动力股票A,688361,中科飞测
005628,汇安趋势动力股票A,300054,鼎龙股份
005628,汇安趋势动力股票A,688019,安集科技
005628,汇安趋势动力股票A,688300,联瑞新材
005628,汇安趋势动力股票A,300666,江丰电子
005628,汇安趋势动力股票A,301611,珂玛科技
005628,汇安趋势动力股票A,688809,强一股份
540010,汇丰晋信科技先锋股票,688195,腾景科技
540010,汇丰晋信科技先锋股票,688498,源杰科技
540010,汇丰晋信科技先锋股票,300502,新易盛
540010,汇丰晋信科技先锋股票,300394,天孚通信
540010,汇丰晋信科技先锋股票,688167,炬光科技
540010,汇丰晋信科技先锋股票,300308,中际旭创
540010,汇丰晋信科技先锋股票,300570,太辰光
540010,汇丰晋信科技先锋股票,688012,中微公司
540010,汇丰晋信科技先锋股票,688270,ST臻镭
540010,汇丰晋信科技先锋股票,002475,立讯精密
020356,华夏半导体材料设备ETF联接A,688012,中微公司
020356,华夏半导体材料设备ETF联接A,002371,北方华创
020356,华夏半导体材料设备ETF联接A,688072,拓荆科技
020356,华夏半导体材料设备ETF联接A,300604,长川科技
020356,华夏半导体材料设备ETF联接A,688120,华海清科
020356,华夏半导体材料设备ETF联接A,688126,沪硅产业
020356,华夏半导体材料设备ETF联接A,688361,中科飞测
020356,华夏半导体材料设备ETF联接A,300346,南大光电
020356,华夏半导体材料设备ETF联接A,688019,安集科技
020356,华夏半导体材料设备ETF联接A,300666,江丰电子
021532,天弘半导体设备指数A,688012,中微公司
021532,天弘半导体设备指数A,002371,北方华创
021532,天弘半导体设备指数A,688072,拓荆科技
021532,天弘半导体设备指数A,300604,长川科技
021532,天弘半导体设备指数A,688120,华海清科
021532,天弘半导体设备指数A,688126,沪硅产业
021532,天弘半导体设备指数A,688361,中科飞测
021532,天弘半导体设备指数A,300346,南大光电
021532,天弘半导体设备指数A,688019,安集科技
021532,天弘半导体设备指数A,300666,江丰电子
010013,易方达信息行业精选股票A,300502,新易盛
010013,易方达信息行业精选股票A,300308,中际旭创
010013,易方达信息行业精选股票A,688498,源杰科技
010013,易方达信息行业精选股票A,600487,亨通光电
010013,易方达信息行业精选股票A,002384,东山精密
010013,易方达信息行业精选股票A,300750,宁德时代
010013,易方达信息行业精选股票A,301377,鼎泰高科
010013,易方达信息行业精选股票A,300620,光库科技
010013,易方达信息行业精选股票A,600522,中天科技
010013,易方达信息行业精选股票A,06869,长飞光纤光缆
020639,广发半导体设备ETF联接A,603078,江化微
020639,广发半导体设备ETF联接A,688361,中科飞测
020639,广发半导体设备ETF联接A,688146,中船特气
020639,广发半导体设备ETF联接A,688126,沪硅产业
020639,广发半导体设备ETF联接A,688549,中巨芯
001105,信澳转型创新股票A,688630,芯碁微装
001105,信澳转型创新股票A,300548,长芯博创
001105,信澳转型创新股票A,002384,东山精密
001105,信澳转型创新股票A,601138,工业富联
001105,信澳转型创新股票A,002916,深南电路
001105,信澳转型创新股票A,688002,睿创微纳
001105,信澳转型创新股票A,688519,南亚新材
001105,信澳转型创新股票A,300602,飞荣达
001105,信澳转型创新股票A,688099,晶晨股份
001105,信澳转型创新股票A,002080,中材科技
008382,融通产业趋势股票,300502,新易盛
008382,融通产业趋势股票,300308,中际旭创
008382,融通产业趋势股票,002384,东山精密
008382,融通产业趋势股票,06869,长飞光纤光缆
008382,融通产业趋势股票,600105,永鼎股份
008382,融通产业趋势股票,688498,源杰科技
008382,融通产业趋势股票,603306,华懋科技
008382,融通产业趋势股票,06166,剑桥科技
008382,融通产业趋势股票,688388,嘉元科技
008382,融通产业趋势股票,300394,天孚通信
006081,海富通电子传媒股票A,300502,新易盛
006081,海富通电子传媒股票A,300308,中际旭创
006081,海富通电子传媒股票A,002463,沪电股份
006081,海富通电子传媒股票A,002384,东山精密
006081,海富通电子传媒股票A,688498,源杰科技
006081,海富通电子传媒股票A,600183,生益科技
006081,海富通电子传媒股票A,002916,深南电路
006081,海富通电子传媒股票A,300394,天孚通信
006081,海富通电子传媒股票A,688361,中科飞测
006081,海富通电子传媒股票A,300475,香农芯创
009491,宝盈创新驱动股票A,300502,新易盛
009491,宝盈创新驱动股票A,002384,东山精密
009491,宝盈创新驱动股票A,300394,天孚通信
009491,宝盈创新驱动股票A,300308,中际旭创
009491,宝盈创新驱动股票A,01347,华虹半导体
009491,宝盈创新驱动股票A,300433,蓝思科技
009491,宝盈创新驱动股票A,603306,华懋科技
009491,宝盈创新驱动股票A,300857,协创数据
009491,宝盈创新驱动股票A,688048,长光华芯
009491,宝盈创新驱动股票A,688200,华峰测控
010391,易方达战略新兴产业股票A,300502,新易盛
010391,易方达战略新兴产业股票A,002463,沪电股份
010391,易方达战略新兴产业股票A,300308,中际旭创
010391,易方达战略新兴产业股票A,002384,东山精密
010391,易方达战略新兴产业股票A,06869,长飞光纤光缆
010391,易方达战略新兴产业股票A,688519,南亚新材
010391,易方达战略新兴产业股票A,688521,芯原股份
010391,易方达战略新兴产业股票A,600522,中天科技
010391,易方达战略新兴产业股票A,688120,华海清科
010391,易方达战略新兴产业股票A,00981,中芯国际
013242,华银优势行业股票,688498,源杰科技
013242,华银优势行业股票,688525,佰维存储
013242,华银优势行业股票,001309,德明利
013242,华银优势行业股票,300502,新易盛
013242,华银优势行业股票,300308,中际旭创
013242,华银优势行业股票,301031,中熔电气
013242,华银优势行业股票,301200,大族数控
013242,华银优势行业股票,300394,天孚通信
013242,华银优势行业股票,688127,蓝特光学
013242,华银优势行业股票,688025,杰普特
009891,融通产业趋势臻选股票A,002384,东山精密
009891,融通产业趋势臻选股票A,300308,中际旭创
009891,融通产业趋势臻选股票A,300502,新易盛
009891,融通产业趋势臻选股票A,06869,长飞光纤光缆
009891,融通产业趋势臻选股票A,688498,源杰科技
009891,融通产业趋势臻选股票A,600105,永鼎股份
009891,融通产业趋势臻选股票A,002080,中材科技
009891,融通产业趋势臻选股票A,00700,腾讯控股
009891,融通产业趋势臻选股票A,600875,东方电气
009891,融通产业趋势臻选股票A,06166,剑桥科技
